"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Hartford School District","=""0640011""","Enterprise operations","$0",16494,2,"$0"
"Hartford School District","=""0640011""","Minor school construction","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Total","$497,266,479",21531,1,"$23,095"
"Hartland School District","=""0650011""","Instruction","$3,690,421",188,1,"$19,630"
"Hartland School District","=""0650011""","Support services - students","$587,496",109,2,"$5,390"
"Hartland School District","=""0650011""","Support services - instruction","$139,426",109,2,"$1,279"
"Hartland School District","=""0650011""","Support services - general administration","$167,788",109,2,"$1,539"
"Hartland School District","=""0650011""","Support services - school based administration","$290,921",109,2,"$2,669"
"Hartland School District","=""0650011""","Central and other support services","$133,120",109,2,"$1,221"
"Hartland School District","=""0650011""","Operation and maintenance of plant","$368,068",109,2,"$3,377"
"Hartland School District","=""0650011""","Student transportation services","$334,022",173,3,"$1,931"
"Hartland School District","=""0650011""","Food services","$0",109,2,"$0"
"Hartland School District","=""0650011""","Enterprise operations","$152,451",109,2,"$1,399"
"Hartland School District","=""0650011""","Minor school construction","N/A","N/A","N/A","N/A"
"Hartland School District","=""0650011""","Total","$5,863,712",188,1,"$31,190"
"Hebron School District","=""0670011""","Instruction","$8,321,633",709,1,"$11,737"
"Hebron School District","=""0670011""","Support services - students","$1,309,323",701,2,"$1,868"
"Hebron School District","=""0670011""","Support services - instruction","$870,824",701,2,"$1,242"
"Hebron School District","=""0670011""","Support services - general administration","$398,403",701,2,"$568"
"Hebron School District","=""0670011""","Support services - school based administration","$603,071",701,2,"$860"
"Hebron School District","=""0670011""","Central and other support services","$715,657",701,2,"$1,021"
"Hebron School District","=""0670011""","Operation and maintenance of plant","$1,287,322",701,2,"$1,836"
"Hebron School District","=""0670011""","Student transportation services","$543,482",584,3,"$931"
"Hebron School District","=""0670011""","Food services","$0",701,2,"$0"
"Hebron School District","=""0670011""","Enterprise operations","$0",701,2,"$0"
"Hebron School District","=""0670011""","Minor school construction","N/A","N/A","N/A","N/A"
"Hebron School District","=""0670011""","Total","$14,049,715",709,1,"$19,816"
"Highville Charter School District","=""2860013""","Instruction","$3,654,359",504,1,"$7,251"
"Highville Charter School District","=""2860013""","Support services - students","$848,442",504,2,"$1,683"
"Highville Charter School District","=""2860013""","Support services - instruction","$409,130",504,2,"$812"
"Highville Charter School District","=""2860013""","Support services - general administration","$4,479",504,2,"$9"
"Highville Charter School District","=""2860013""","Support services - school based administration","$702,502",504,2,"$1,394"
"Highville Charter School District","=""2860013""","Central and other support services","$0",504,2,"$0"
"Highville Charter School District","=""2860013""","Operation and maintenance of plant","$1,033,118",504,2,"$2,050"
"Highville Charter School District","=""2860013""","Student transportation services","$2,363",2,3,"$1,182"
"Highville Charter School District","=""2860013""","Food services","$0",504,2,"$0"
"Highville Charter School District","=""2860013""","Enterprise operations","$-81",504,2,"$-0"
"Highville Charter School District","=""2860013""","Minor school construction","N/A","N/A","N/A","N/A"
"Highville Charter School District","=""2860013""","Total","$6,654,311",504,1,"$13,203"
"Integrated Day Charter School District","=""2640013""","Instruction","$2,899,551",362,1,"$8,010"
"Integrated Day Charter School District","=""2640013""","Support services - students","$683,995",362,2,"$1,889"
"Integrated Day Charter School District","=""2640013""","Support services - instruction","$17,905",362,2,"$49"
"Integrated Day Charter School District","=""2640013""","Support services - general administration","$0",362,2,"$0"
"Integrated Day Charter School District","=""2640013""","Support services - school based administration","$537,263",362,2,"$1,484"
"Integrated Day Charter School District","=""2640013""","Central and other support services","$561,999",362,2,"$1,552"
"Integrated Day Charter School District","=""2640013""","Operation and maintenance of plant","$647,160",362,2,"$1,788"
"Integrated Day Charter School District","=""2640013""","Student transportation services","$22,434",362,3,"$62"
"Integrated Day Charter School District","=""2640013""","Food services","$0",362,2,"$0"
"Integrated Day Charter School District","=""2640013""","Enterprise operations","$0",362,2,"$0"
"Integrated Day Charter School District","=""2640013""","Minor school construction","N/A","N/A","N/A","N/A"
"Integrated Day Charter School District","=""2640013""","Total","$5,370,308",362,1,"$14,835"
"Interdistrict School for Arts and Comm District","=""2650013""","Instruction","$2,495,423",279,1,"$8,944"
"Interdistrict School for Arts and Comm District","=""2650013""","Support services - students","$442,372",279,2,"$1,586"
"Interdistrict School for Arts and Comm District","=""2650013""","Support services - instruction","$342,237",279,2,"$1,227"
"Interdistrict School for Arts and Comm District","=""2650013""","Support services - general administration","$0",279,2,"$0"
"Interdistrict School for Arts and Comm District","=""2650013""","Support services - school based administration","$450,303",279,2,"$1,614"
"Interdistrict School for Arts and Comm District","=""2650013""","Central and other support services","$687,326",279,2,"$2,464"
"Interdistrict School for Arts and Comm District","=""2650013""","Operation and maintenance of plant","$418,208",279,2,"$1,499"
"Interdistrict School for Arts and Comm District","=""2650013""","Student transportation services","$29,341",279,3,"$105"
"Interdistrict School for Arts and Comm District","=""2650013""","Food services","$0",279,2,"$0"
"Interdistrict School for Arts and Comm District","=""2650013""","Enterprise operations","$0",279,2,"$0"
"Interdistrict School for Arts and Comm District","=""2650013""","Minor school construction","N/A","N/A","N/A","N/A"
"Interdistrict School for Arts and Comm District","=""2650013""","Total","$4,865,210",279,1,"$17,438"
"Jumoke Academy District","=""2610013""","Instruction","$4,598,787",619,1,"$7,429"
"Jumoke Academy District","=""2610013""","Support services - students","$572,605",619,2,"$925"
"Jumoke Academy District","=""2610013""","Support services - instruction","$1,133,793",619,2,"$1,832"
"Jumoke Academy District","=""2610013""","Support services - general administration","$19,238",619,2,"$31"
"Jumoke Academy District","=""2610013""","Support services - school based administration","$2,623,959",619,2,"$4,239"
"Jumoke Academy District","=""2610013""","Central and other support services","$11,490",619,2,"$19"
"Jumoke Academy District","=""2610013""","Operation and maintenance of plant","$1,639,764",619,2,"$2,649"
"Jumoke Academy District","=""2610013""","Student transportation services","$0",0,3,"$0"
"Jumoke Academy District","=""2610013""","Food services","$0",619,2,"$0"
"Jumoke Academy District","=""2610013""","Enterprise operations","$0",619,2,"$0"
"Jumoke Academy District","=""2610013""","Minor school construction","N/A","N/A","N/A","N/A"
"Jumoke Academy District","=""2610013""","Total","$10,599,635",619,1,"$17,124"
"Kent School District","=""0680011""","Instruction","$4,081,751",192,1,"$21,259"
"Kent School District","=""0680011""","Support services - students","$184,592",191,2,"$966"
"Kent School District","=""0680011""","Support services - instruction","$75,091",191,2,"$393"
"Kent School District","=""0680011""","Support services - general administration","$274,492",191,2,"$1,437"
"Kent School District","=""0680011""","Support services - school based administration","$327,934",191,2,"$1,717"
"Kent School District","=""0680011""","Central and other support services","$100,342",191,2,"$525"
"Kent School District","=""0680011""","Operation and maintenance of plant","$552,810",191,2,"$2,894"
"Kent School District","=""0680011""","Student transportation services","$376,674",202,3,"$1,865"
"Kent School District","=""0680011""","Food services","$0",191,2,"$0"
"Kent School District","=""0680011""","Enterprise operations","$45,130",191,2,"$236"
"Kent School District","=""0680011""","Minor school construction","N/A","N/A","N/A","N/A"
"Kent School District","=""0680011""","Total","$6,018,817",192,1,"$31,348"
"Killingly School District","=""0690011""","Instruction","$29,431,556",2488,1,"$11,829"
"Killingly School District","=""0690011""","Support services - students","$4,167,721",2387,2,"$1,746"
"Killingly School District","=""0690011""","Support services - instruction","$1,392,623",2387,2,"$583"
"Killingly School District","=""0690011""","Support services - general administration","$2,575,265",2387,2,"$1,079"
"Killingly School District","=""0690011""","Support services - school based administration","$2,663,238",2387,2,"$1,116"
"Killingly School District","=""0690011""","Central and other support services","$2,474,626",2387,2,"$1,037"
"Killingly School District","=""0690011""","Operation and maintenance of plant","$5,739,177",2387,2,"$2,404"
"Killingly School District","=""0690011""","Student transportation services","$3,776,666",2069,3,"$1,825"
"Killingly School District","=""0690011""","Food services","$0",2387,2,"$0"
"Killingly School District","=""0690011""","Enterprise operations","$0",2387,2,"$0"
"Killingly School District","=""0690011""","Minor school construction","N/A","N/A","N/A","N/A"
"Killingly School District","=""0690011""","Total","$52,220,871",2488,1,"$20,989"
"Learn","=""2450014""","Instruction","$24,318,034",1395,1,"$17,432"
"Learn","=""2450014""","Support services - students","$3,482,429",1395,2,"$2,496"
"Learn","=""2450014""","Support services - instruction","$643,161",1395,2,"$461"
"Learn","=""2450014""","Support services - general administration","$36,135",1395,2,"$26"
